locker;locker_level;level_spot;active_spot;incoming;product_type;product_quantity;max_spot_quantity;;product_id;out_of_balance;chip;vendor
1;1;1;;yes;new;3000;3000;;12;;;
1;1;2;;yes;new;3000;3000;;12;;;
1;1;3;;yes;new;3000;3000;;12;;;
1;1;4;;yes;new;3000;3000;;12;;;
1;1;5;;yes;new;3000;3000;;12;;;
1;1;6;;yes;new;3000;3000;;12;;;
1;1;7;;yes;new;3000;3000;;12;;;
1;1;8;;yes;new;3000;3000;;12;;;
1;1;9;;yes;new;3000;3000;;12;;;
1;1;10;;yes;new;3000;3000;;12;;;
1;2;1;;yes;new;1000;1000;;12;;;
1;2;2;;yes;new;1000;1000;;12;;;
1;2;3;;yes;new;1000;1000;;12;;;
1;2;4;;yes;new;1000;1000;;12;;;
1;2;5;;yes;new;1000;1000;;12;;;
1;2;6;;yes;new;1000;1000;;12;;;
1;2;7;;;new;1000;1000;;12;;;
1;2;8;;;new;1000;1000;;12;;;
1;2;9;;;new;1000;1000;;12;;;
1;2;10;;;new;1000;1000;;12;;;
1;3;1;;yes;new;1000;1000;;13;;;
1;3;2;;yes;new;1000;1000;;13;;;
1;3;3;;yes;new;1000;1000;;13;;;
1;3;4;;yes;new;1000;1000;;13;;;
1;3;5;;yes;new;1000;1000;;13;;;
1;3;6;;yes;new;1000;1000;;13;;;
1;3;7;;yes;new;1000;1000;;13;;;
1;3;8;;yes;new;1000;1000;;13;;;
1;3;9;;yes;new;1000;1000;;13;;;
1;3;10;;yes;new;1000;1000;;13;;;
1;4;1;;yes;new;1000;1000;;13;;;
1;4;2;;yes;new;1000;1000;;13;;;
1;4;3;;yes;new;1000;1000;;13;;;
1;4;4;;yes;new;1000;1000;;13;;;
1;4;5;;yes;new;1000;1000;;13;;;
1;4;6;;yes;new;1000;1000;;13;;;
1;4;7;;yes;new;1000;1000;;13;;;
1;4;8;;yes;new;1000;1000;;13;;;
1;4;9;;yes;new;1000;1000;;13;;;
1;4;10;;yes;new;1000;1000;;13;;;
1;5;1;;yes;new;1000;1000;;13;;;
1;5;2;;yes;new;1000;1000;;13;;;
1;5;3;;yes;new;1000;1000;;13;;;
1;5;4;;yes;new;1000;1000;;13;;;
1;5;5;;yes;new;1000;1000;;13;;;
1;5;6;;yes;new;1000;1000;;13;;;
1;5;7;;yes;new;1000;1000;;13;;;
1;5;8;;yes;new;1000;1000;;13;;;
1;5;9;;;new;1000;1000;;13;;;
1;5;10;;;new;1000;1000;;13;;;
1;6;1;;yes;white;1000;1000;;16;;Abraham34_07TT;my_Frend
1;6;2;;yes;white;1000;1000;;16;;Abraham34_07TT;my_Frend
1;6;3;;yes;white;1000;1000;;16;;Abraham34_07TT;my_Frend
1;6;4;;yes;white;1000;1000;;16;;Abraham34_07TT;my_Frend
1;6;5;;yes;white;1000;1000;;16;;Abraham48_07BB;my_Frend
1;6;6;;yes;white;1000;1000;;16;;Abraham48_07BB;my_Frend
1;6;7;;yes;new;1000;1000;;15;;Abraham48_07BB;my_Frend
1;6;8;;yes;new;1000;1000;;15;;Abraham48_07BB;my_Frend
1;6;9;;yes;new;1000;1000;;15;;Abraham48_07BB;my_Frend
1;6;10;;yes;new;1000;1000;;15;;Abraham48_07BB;my_Frend
1;7;1;;yes;new;1000;1000;;20;;Abraham48_07BB;my_Frend
1;7;2;;yes;new;1000;1000;;20;;Abraham48_07BB;my_Frend
1;7;3;;yes;new;1000;1000;;20;;Abraham34_07TT;my_Frend
1;7;4;;yes;new;1000;1000;;20;;Abraham34_07TT;my_Frend
1;7;5;;;;;1000;;;;;
1;7;6;;;;;1000;;;;;
1;7;7;;;;;1000;;;;;
1;7;8;;;;;1000;;;;;
1;7;9;;;;;1000;;;;;
1;7;10;;;;;1000;;;;;
1;8;1;yes;yes;colored;200;1000;;17;;Abraham48_07BB;my_Frend
1;8;1;yes;yes;colored;150;1000;;18;;Abraham48_07BB;my_Frend
1;8;2;;;;;1000;;;;;
1;8;3;;;;;1000;;;;;
1;8;4;;;;;1000;;;;;
1;8;5;;;;;1000;;;;;
1;8;6;;;;;1000;;;;;
1;8;7;;;;;1000;;;;;
1;8;8;;;;;1000;;;;;
1;8;9;;;;;1000;;;;;
1;8;10;;yes;colored_reject;5;1000;;17;;;
1;8;10;;yes;colored_reject;10;1000;;18;;;
1;8;10;;yes;input_reject;1;1000;;16;;Abraham48_07BB;my_Frend
1;9;1;yes;yes;new;100;1000;;12;;;
1;9;2;yes;yes;new;200;1000;;13;;;
1;9;3;yes;yes;new;300;1000;;20;;Abraham34_07TT;my_Frend
1;9;4;yes;yes;new;600;1000;;15;;Abraham48_07BB;my_Frend
1;9;5;;;;;1000;;;;;
1;9;6;;;;;1000;;;;;
1;9;7;;;;;1000;;;;;
1;9;8;;;;;1000;;;;;
1;9;9;;;;;1000;;;;;
1;9;10;;;;;1000;;;;;
1;10;1;;;;;1500;;;;;
1;10;2;;;;;1500;;;;;
1;10;3;;;;;1500;;;;;
1;10;4;;;;;1500;;;;;
1;10;5;;;;;1500;;;;;
1;10;6;;;;;1500;;;;;
1;10;7;;;;;1500;;;;;
1;10;8;;;;;1500;;;;;
1;10;9;;;;;1500;;;;;
1;10;10;;;;;1500;;;;;
2;1;1;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;1;2;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;1;3;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;1;4;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;1;5;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;1;6;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;1;7;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;1;8;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;1;9;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;1;10;;yes;new;3000;3000;;23;;Abraham34_07TT;that_boy
2;2;1;;yes;new;1000;1000;;24;;Abraham34_07TT;my_Frend
2;2;2;;yes;new;1000;1000;;24;;Abraham34_07TT;my_Frend
2;2;3;;yes;new;1000;1000;;24;;Abraham34_07TT;my_Frend
2;2;4;;yes;new;1000;1000;;24;;Abraham34_07TT;my_Frend
2;2;5;;;;;1000;;;;;
2;2;6;;;;;1000;;;;;
2;2;7;;;;;1000;;;;;
2;2;8;;;;;1000;;;;;
2;2;9;;;;;1000;;;;;
2;2;10;;;;;1000;;;;;
2;3;1;;yes;new;1000;1000;;26;;Abraham34_07TT;my_Frend
2;3;2;;yes;new;1000;1000;;26;;Abraham34_07TT;my_Frend
2;3;3;;yes;new;1000;1000;;26;;Abraham34_07TT;my_Frend
2;3;4;;yes;new;1000;1000;;26;;Abraham34_07TT;my_Frend
2;3;5;;yes;new;1000;1000;;26;;Abraham34_07TT;my_Frend
2;3;6;;yes;new;1000;1000;;26;;Abraham34_07TT;my_Frend
2;3;7;;yes;new;1000;1000;;27;;Abraham34_07TT;my_Frend
2;3;8;;yes;new;1000;1000;;27;;Abraham34_07TT;my_Frend
2;3;9;;yes;new;1000;1000;;27;;Abraham34_07TT;my_Frend
2;3;10;;yes;new;1000;1000;;27;;Abraham34_07TT;my_Frend
2;4;1;;yes;new;1000;1000;;29;;Abraham34_07TT;my_Frend
2;4;2;;yes;new;1000;1000;;29;;Abraham34_07TT;my_Frend
2;4;3;;yes;new;1000;1000;;29;;Abraham34_07TT;my_Frend
2;4;4;;yes;new;1000;1000;;29;;Abraham34_07TT;my_Frend
2;4;5;;;;;1000;;;;;
2;4;6;;;;;1000;;;;;
2;4;7;;yes;new;1000;1000;;30;;Abraham34_07TT;my_Frend
2;4;8;;yes;new;1000;1000;;30;;Abraham34_07TT;my_Frend
2;4;9;;yes;new;1000;1000;;30;;Abraham34_07TT;my_Frend
2;4;10;;yes;new;1000;1000;;30;;Abraham34_07TT;my_Frend
2;5;1;;yes;new;1000;1000;;54;;;
2;5;2;;yes;new;1000;1000;;54;;;
2;5;3;;yes;new;1000;1000;;54;;;
2;5;4;;yes;new;1000;1000;;54;;;
2;5;5;;yes;new;1000;1000;;54;;;
2;5;6;;yes;new;1000;1000;;54;;;
2;5;7;;yes;new;1000;1000;;54;;;
2;5;8;;yes;new;1000;1000;;54;;;
2;5;9;;yes;new;1000;1000;;54;;;
2;5;10;;yes;new;1000;1000;;54;;;
2;6;1;;yes;white;1000;1000;;53;;;
2;6;2;;yes;white;1000;1000;;53;;;
2;6;3;;yes;white;1000;1000;;53;;;
2;6;4;;yes;white;1000;1000;;53;;;
2;6;5;;yes;white;1000;1000;;53;;;
2;6;6;;yes;white;1000;1000;;53;;;
2;6;7;;yes;white;1000;1000;;53;;;
2;6;8;;yes;white;1000;1000;;53;;;
2;6;9;;;;;1000;;;;;
2;6;10;;;;;1000;;;;;
2;7;1;yes;yes;colored;100;1000;;55;;;
2;7;2;yes;yes;colored;50;1000;;56;;;
2;7;3;yes;yes;colored;60;1000;;57;;;
2;7;4;yes;yes;colored;70;1000;;58;;;
2;7;5;yes;yes;colored;100;1000;;59;;;
2;7;6;yes;yes;colored;100;1000;;60;;;
2;7;7;yes;yes;colored;100;1000;;61;;;
2;7;8;yes;yes;colored;100;1000;;62;;;
2;7;9;yes;yes;new;1000;1000;;54;;;
2;7;10;;yes;colored_reject;15;1000;;55;;;
2;7;10;;yes;colored_reject;20;1000;;56;;;
2;7;10;;yes;colored_reject;5;1000;;57;;;
2;7;10;;yes;colored_reject;10;1000;;61;;;
2;8;1;;;;;1000;;;;;
2;8;2;;;;;1000;;;;;
2;8;3;;;;;1000;;;;;
2;8;4;;;;;1000;;;;;
2;8;5;;;;;1000;;;;;
2;8;6;;;;;1000;;;;;
2;8;7;;;;;1000;;;;;
2;8;8;;;;;1000;;;;;
2;8;9;;;;;1000;;;;;
2;8;10;;;;;1000;;;;;
2;9;1;yes;yes;new;400;1000;;23;;Abraham34_07TT;my_Frend
2;9;2;yes;yes;new;500;1000;;24;;Abraham34_07TT;my_Frend
2;9;3;;;;;1000;;;;;
2;9;4;yes;yes;new;500;1000;;26;;Abraham34_07TT;my_Frend
2;9;5;yes;yes;new;600;1000;;27;;Abraham34_07TT;my_Frend
2;9;6;;;;;1000;;;;;
2;9;7;yes;yes;new;100;1000;;29;;Abraham34_07TT;my_Frend
2;9;8;yes;yes;new;200;1000;;30;;Abraham34_07TT;my_Frend
2;9;9;;;;;1000;;;;;
2;9;10;;;;;1000;;;;;
2;10;1;;;;;1500;;;;;
2;10;2;;;;;1500;;;;;
2;10;3;;;;;1500;;;;;
2;10;4;;;;;1500;;;;;
2;10;5;;;;;1500;;;;;
2;10;6;;;;;1500;;;;;
2;10;7;;;;;1500;;;;;
2;10;8;;;;;1500;;;;;
2;10;9;;;;;1500;;;;;
2;10;10;;;;;1500;;;;;
3;1;1;;yes;new;3000;3000;;33;;Abraham34_07TT;my_Frend
3;1;2;;yes;new;3000;3000;;33;;Abraham34_07TT;my_Frend
3;1;3;;yes;new;3000;3000;;33;;Abraham34_07TT;my_Frend
3;1;4;;yes;new;3000;3000;;33;;Abraham34_07TT;my_Frend
3;1;5;;yes;new;3000;3000;;33;;Abraham34_07TT;my_Frend
3;1;6;;yes;new;1000;3000;;33;;Abraham34_07TT;my_Frend
3;1;7;;;;;3000;;;;;
3;1;8;;;;;3000;;;;;
3;1;9;;;;;3000;;;;;
3;1;10;;;;;3000;;;;;
3;2;1;;yes;white;1000;1000;;35;;Flyfly55;know_him
3;2;2;;yes;white;1000;1000;;35;;Flyfly55;know_him
3;2;3;;yes;white;1000;1000;;35;;Flyfly55;know_him
3;2;4;;yes;white;1000;1000;;35;;Flyfly55;know_him
3;2;5;;yes;white;1000;1000;;35;;Abraham34_07TT;my_Frend
3;2;6;;yes;white;1000;1000;;35;;Abraham34_07TT;my_Frend
3;2;7;;yes;new;1000;1000;;40;;Abraham48_07BB;my_Frend
3;2;8;;yes;new;1000;1000;;40;;Abraham48_07BB;my_Frend
3;2;9;;yes;new;1000;1000;;40;;Abraham48_07BB;my_Frend
3;2;10;;yes;new;1000;1000;;40;;Abraham48_07BB;my_Frend
3;3;1;;yes;new;1000;1000;;41;;Abraham48_07BB;my_Frend
3;3;2;;yes;new;1000;1000;;41;;Abraham48_07BB;my_Frend
3;3;3;;yes;new;1000;1000;;42;;Abraham48_07BB;my_Frend
3;3;4;;yes;new;1000;1000;;42;;Abraham48_07BB;my_Frend
3;3;5;;;;;1000;;;;;
3;3;6;;;;;1000;;;;;
3;3;7;;;;;1000;;;;;
3;3;8;;;;;1000;;;;;
3;3;9;;;;;1000;;;;;
3;3;10;;;;;1000;;;;;
3;4;1;;yes;white;1000;1000;;43;;Abraham34_07TT;my_Frend
3;4;2;;yes;white;1000;1000;;43;;Abraham34_07TT;my_Frend
3;4;3;;yes;white;1000;1000;;43;;Abraham34_07TT;my_Frend
3;4;4;;yes;white;1000;1000;;43;;Abraham34_07TT;my_Frend
3;4;5;;yes;white;1000;1000;;43;;Abraham48_07BB;my_Frend
3;4;6;;yes;white;1000;1000;;43;;Abraham48_07BB;my_Frend
3;4;7;;yes;white;1000;1000;;43;;Abraham48_07BB;my_Frend
3;4;8;;yes;white;1000;1000;;43;;Abraham48_07BB;my_Frend
3;4;9;;yes;white;1000;1000;;43;;Abraham48_07BB;my_Frend
3;4;10;;yes;white;1000;1000;;43;;Abraham48_07BB;my_Frend
3;5;1;;yes;new;1000;1000;;8;;Flyfly55;know_him
3;5;2;;yes;new;1000;1000;;8;;Flyfly55;know_him
3;5;3;;yes;new;1000;1000;;8;;Flyfly55;know_him
3;5;4;;yes;new;1000;1000;;8;;Flyfly55;know_him
3;5;5;;yes;new;500;1000;;8;;Flyfly55;know_him
3;5;6;;yes;new;1000;1000;;9;;Flyfly55;know_him
3;5;7;;yes;new;1000;1000;;9;;Flyfly55;know_him
3;5;8;;yes;new;1000;1000;;9;;Flyfly55;know_him
3;5;9;;yes;new;1000;1000;;9;;Flyfly55;know_him
3;5;10;;yes;new;1000;1000;;9;;Flyfly55;know_him
3;6;1;;;;;1000;;;;;
3;6;2;;;;;1000;;;;;
3;6;3;;;;;1000;;;;;
3;6;4;;;;;1000;;;;;
3;6;5;;;;;1000;;;;;
3;6;6;;;;;1000;;;;;
3;6;7;;;;;1000;;;;;
3;6;8;;;;;1000;;;;;
3;6;9;;;;;1000;;;;;
3;6;10;;;;;1000;;;;;
3;7;1;;;;;1000;;;;;
3;7;2;;;;;1000;;;;;
3;7;3;;;;;1000;;;;;
3;7;4;;;;;1000;;;;;
3;7;5;;;;;1000;;;;;
3;7;6;;;;;1000;;;;;
3;7;7;;;;;1000;;;;;
3;7;8;;;;;1000;;;;;
3;7;9;;;;;1000;;;;;
3;7;10;;;;;1000;;;;;
3;8;1;yes;yes;colored;100;1000;;44;;Abraham48_07BB;my_Frend
3;8;1;yes;yes;colored;115;1000;;45;;Abraham48_07BB;my_Frend
3;8;1;yes;yes;colored;325;1000;;46;;Nope_heipful_89;that_boy
3;8;1;yes;yes;colored;140;1000;;47;;Abraham48_07BB;my_Frend
3;8;1;yes;yes;colored;300;1000;;48;;Abraham48_07BB;my_Frend
3;8;1;yes;yes;colored;60;1000;;49;;Abraham48_07BB;my_Frend
3;8;1;yes;yes;colored;20;1000;;50;;Nope_heipful_89;that_boy
3;8;1;;;;;1000;;;;;
3;8;2;;;;;1000;;;;;
3;8;3;;;;;1000;;;;;
3;8;4;;;;;1000;;;;;
3;8;5;;;;;1000;;;;;
3;8;6;;;;;1000;;;;;
3;8;7;;;;;1000;;;;;
3;8;8;yes;yes;pre_perso;70;1000;;51;;Abraham48_07BB;my_Frend
3;8;9;;;;;1000;;;;;
3;8;10;;yes;colored_reject;1;1000;;44;;;
3;8;10;;yes;colored_reject;1;1000;;46;;;
3;8;10;;yes;colored_reject;20;1000;;49;;;
3;8;10;;yes;colored_reject;5;1000;;50;;;
3;8;10;;yes;colored_reject;10;1000;;51;;;
3;9;1;yes;yes;new;400;1000;;33;;Abraham34_07TT;my_Frend
3;9;2;;;;;1000;;;;;
3;9;3;;;;;1000;;;;;
3;9;4;yes;yes;new;500;1000;;40;;Abraham48_07BB;my_Frend
3;9;5;yes;yes;new;100;1000;;41;;Abraham48_07BB;my_Frend
3;9;6;yes;yes;new;50;1000;;42;;Abraham48_07BB;my_Frend
3;9;7;;;;;1000;;;;;
3;9;8;;;;;1000;;;;;
3;9;9;yes;yes;new;400;1000;;8;;Flyfly55;know_him
3;9;10;yes;yes;new;600;1000;;9;;Flyfly55;know_him
3;10;1;;;;;1500;;;;;
3;10;2;;;;;1500;;;;;
3;10;3;;;;;1500;;;;;
3;10;4;;yes;test;50;1500;;21;yes;Nope_heipful_89;that_boy
3;10;4;;yes;test;100;1500;;31;yes;Nope_heipful_89;that_boy
3;10;5;;;;;1500;;;;;
3;10;6;;;;;1500;;;;;
3;10;7;;;;;1500;;;;;
3;10;8;;yes;perso_reject;;1500;;17;;;
3;10;8;;yes;perso_reject;;1500;;18;;;
3;10;8;;yes;perso_reject;;1500;;46;;;
3;10;8;;yes;perso_reject;;1500;;49;;;
3;10;8;;yes;perso_reject;;1500;;50;;;
3;10;9;;;;;1500;;;;;
3;10;10;;yes;perso_reject;1;1500;;8;;;
3;10;10;;yes;perso_reject;5;1500;;12;;;
3;10;10;;yes;perso_reject;10;1500;;13;;;
3;10;10;;yes;perso_reject;5;1500;;20;;;
3;10;10;;yes;perso_reject;10;1500;;23;;;
3;10;10;;yes;perso_reject;1;1500;;24;;;
3;10;10;;yes;perso_reject;20;1500;;33;;;
